Amount,Price,Rate,Time
1.0,2928731.24436047,2928731.24436,2022-07-09 14:44:17
1.0,2928428.49741432,2928428.49741,2022-07-09 14:44:18
1.0,2928354.22900472,2928354.229,2022-07-09 14:44:19
1.0,2928493.71747076,2928493.71747,2022-07-09 14:44:20
1.0,2927960.50309652,2927960.5031,2022-07-09 14:44:21
1.0,2928135.19121294,2928135.19121,2022-07-09 14:44:22
1.0,2928300.10115948,2928300.10116,2022-07-09 14:44:23
1.0,2927876.19731992,2927876.19732,2022-07-09 14:44:24
1.0,2927642.40286828,2927642.40287,2022-07-09 14:44:25
1.0,2927620.82797124,2927620.82797,2022-07-09 14:44:26
1.0,2927703.43085552,2927703.43086,2022-07-09 14:44:27
1.0,2927519.34595754,2927519.34596,2022-07-09 14:44:28
1.0,2927564.24638754,2927564.24639,2022-07-09 14:44:29
1.0,2927750.6571422,2927750.65714,2022-07-09 14:44:30
1.0,2927707.77462754,2927707.77463,2022-07-09 14:44:31
1.0,2927491.21426922,2927491.21427,2022-07-09 14:44:32
1.0,2926657.55457242,2926657.55457,2022-07-09 14:44:33
1.0,2927081.6983266,2927081.69833,2022-07-09 14:44:34
1.0,2927532.21726328,2927532.21726,2022-07-09 14:44:35
1.0,2927259.87225521,2927259.87226,2022-07-09 14:44:36
1.0,2926914.79538007,2926914.79538,2022-07-09 14:44:37
1.0,2927250.02521295,2927250.02521,2022-07-09 14:44:38
1.0,2927129.11435378,2927129.11435,2022-07-09 14:44:39
1.0,2927164.19236521,2927164.19237,2022-07-09 14:44:40
1.0,2927096.50886839,2927096.50887,2022-07-09 14:44:41
1.0,2927296.18294931,2927296.18295,2022-07-09 14:44:42
1.0,2927293.29030609,2927293.29031,2022-07-09 14:44:43
1.0,2926919.50948976,2926919.50949,2022-07-09 14:44:44
1.0,2927126.92956142,2927126.92956,2022-07-09 14:44:45
1.0,2927216.14685391,2927216.14685,2022-07-09 14:44:46
1.0,2927439.37327077,2927439.37327,2022-07-09 14:44:48
1.0,2927364.12015088,2927364.12015,2022-07-09 14:44:48
1.0,2927895.41408848,2927895.41409,2022-07-09 14:44:49
1.0,2927706.98265769,2927706.98266,2022-07-09 14:44:50
1.0,2927399.77231178,2927399.77231,2022-07-09 14:44:51
1.0,2927921.83035378,2927921.83035,2022-07-09 14:44:52
1.0,2927701.59829732,2927701.5983,2022-07-09 14:44:53
1.0,2927162.29390081,2927162.2939,2022-07-09 14:44:54
1.0,2927396.2702622,2927396.27026,2022-07-09 14:44:55
1.0,2927375.436079,2927375.43608,2022-07-09 14:44:56
1.0,2927703.81818587,2927703.81819,2022-07-09 14:44:57
1.0,2927579.48052067,2927579.48052,2022-07-09 14:44:58
1.0,2927639.2840067,2927639.28401,2022-07-09 14:45:00
1.0,2927581.74053276,2927581.74053,2022-07-09 14:45:00
1.0,2927511.63294862,2927511.63295,2022-07-09 14:45:01
1.0,2927394.30473221,2927394.30473,2022-07-09 14:45:02
1.0,2927696.01479712,2927696.0148,2022-07-09 14:45:03
1.0,2927740.223822,2927740.22382,2022-07-09 14:45:04
1.0,2927745.42100513,2927745.42101,2022-07-09 14:45:05
1.0,2927749.22842625,2927749.22843,2022-07-09 14:45:06
1.0,2928796.8494258,2928796.84943,2022-07-09 14:45:07
1.0,2928856.58427456,2928856.58427,2022-07-09 14:45:08
1.0,2928894.6601984,2928894.6602,2022-07-09 14:45:09
1.0,2928681.61448664,2928681.61449,2022-07-09 14:45:10
1.0,2928865.83799388,2928865.83799,2022-07-09 14:45:11
1.0,2927403.42550464,2927403.4255,2022-07-09 14:45:12
1.0,2927206.8337157,2927206.83372,2022-07-09 14:45:13
1.0,2928037.91760383,2928037.9176,2022-07-09 14:45:14
1.0,2928039.25570503,2928039.25571,2022-07-09 14:45:15
1.0,2927705.19721405,2927705.19721,2022-07-09 14:45:16
1.0,2927446.91608378,2927446.91608,2022-07-09 14:45:17
1.0,2927568.24550291,2927568.2455,2022-07-09 14:45:18
1.0,2927664.78383635,2927664.78384,2022-07-09 14:45:19
1.0,2927900.33331139,2927900.33331,2022-07-09 14:45:20
1.0,2928389.1771083,2928389.17711,2022-07-09 14:45:21
1.0,2928216.67642535,2928216.67643,2022-07-09 14:45:22
1.0,2928697.62464512,2928697.62465,2022-07-09 14:45:23
1.0,2928496.01384918,2928496.01385,2022-07-09 14:45:24
1.0,2928296.57716379,2928296.57716,2022-07-09 14:45:25
1.0,2928289.11215553,2928289.11216,2022-07-09 14:45:26
1.0,2928120.03697665,2928120.03698,2022-07-09 14:45:27
1.0,2927974.56151665,2927974.56152,2022-07-09 14:45:28
1.0,2928249.23839319,2928249.23839,2022-07-09 14:45:29
1.0,2928054.71478177,2928054.71478,2022-07-09 14:45:30
1.0,2928040.13988177,2928040.13988,2022-07-09 14:45:31
1.0,2928049.41234515,2928049.41235,2022-07-09 14:45:32
1.0,2927860.46840522,2927860.46841,2022-07-09 14:45:33
1.0,2928248.71462235,2928248.71462,2022-07-09 14:45:34
1.0,2927886.18384522,2927886.18385,2022-07-09 14:45:35
1.0,2928039.73844451,2928039.73844,2022-07-09 14:45:36
1.0,2928047.43844451,2928047.43844,2022-07-09 14:45:37
1.0,2928221.09044451,2928221.09044,2022-07-09 14:45:38
1.0,2928258.10627457,2928258.10627,2022-07-09 14:45:39
1.0,2928225.89990457,2928225.8999,2022-07-09 14:45:40
1.0,2928388.65448138,2928388.65448,2022-07-09 14:45:41
1.0,2928053.27952189,2928053.27952,2022-07-09 14:45:42
1.0,2928053.27952189,2928053.27952,2022-07-09 14:45:43
1.0,2928211.92640601,2928211.92641,2022-07-09 14:45:44
1.0,2928095.26411171,2928095.26411,2022-07-09 14:45:45
1.0,2928335.96297202,2928335.96297,2022-07-09 14:45:46
1.0,2928351.83523294,2928351.83523,2022-07-09 14:45:47
1.0,2927889.36605402,2927889.36605,2022-07-09 14:45:48
1.0,2927794.50915137,2927794.50915,2022-07-09 14:45:49
1.0,2927944.6133285,2927944.61333,2022-07-09 14:45:50
1.0,2927871.99397721,2927871.99398,2022-07-09 14:45:51
1.0,2927807.7748755,2927807.77488,2022-07-09 14:45:52
1.0,2928074.43535844,2928074.43536,2022-07-09 14:45:53
1.0,2928471.85773284,2928471.85773,2022-07-09 14:46:30
1.0,2928467.48193284,2928467.48193,2022-07-09 14:46:30
1.0,2928467.48193284,2928467.48193,2022-07-09 14:46:31
1.0,2928468.55044779,2928468.55045,2022-07-09 14:46:32
1.0,2928345.4502678,2928345.45027,2022-07-09 14:46:33
1.0,2928429.28050565,2928429.28051,2022-07-09 14:46:34
